Name	Regen	Batch	Animal	Groups	Clusters
NewRegNoReg01	YES	6	11917	1	YES1
NewRegNoReg02	YES	6	11917	1	YES1
NewRegNoReg03	YES	6	11921	1	YES1
NewRegNoReg05	NO	6	41839	2	NO1
NewRegNoReg06	NO	6	41839	2	NO1
NewRegNoReg07	NO	6	41839	2	NO1
NewRegNoReg08	NO	6	41839	2	NO1
NewRegNoReg100	YES	9	41873	1	YES1
NewRegNoReg101	YES	9	41873	1	YES1
NewRegNoReg102	NO	9	41873	2	NO1
NewRegNoReg103	YES	9	41873	1	YES1
NewRegNoReg104	NO	9	41873	2	NO1
NewRegNoReg105	YES	9	41873	1	YES1
NewRegNoReg106	YES	9	41873	1	YES1
NewRegNoReg107	NO	9	41873	2	NO1
NewRegNoReg108	YES	9	41873	1	YES1
NewRegNoReg109	YES	9	41873	1	YES1
NewRegNoReg110	NO	9	41874	2	NO1
NewRegNoReg111	NO	9	41874	2	NO1
NewRegNoReg112	YES	9	41874	1	YES1
NewRegNoReg113	YES	9	41874	1	YES1
NewRegNoReg114	YES	9	41874	1	YES1
NewRegNoReg115	YES	9	41874	1	YES1
NewRegNoReg116	YES	9	41874	1	YES1
NewRegNoReg117	YES	9	41874	1	YES1
NewRegNoReg118	YES	9	41874	1	YES1
NewRegNoReg119	YES	9	41874	1	YES1
NewRegNoReg11	NO	6	24867	2	NO1
NewRegNoReg120	YES	9	41874	1	YES1
NewRegNoReg121	NO	9	41874	2	NO1
NewRegNoReg122	NO	10	41877	2	NO1
NewRegNoReg123	NO	10	41877	2	NO1
NewRegNoReg124	NO	10	41877	2	NO1
NewRegNoReg125	NO	10	41877	2	NO1
NewRegNoReg126	NO	10	41877	2	NO1
NewRegNoReg127	NO	10	41877	2	NO1
NewRegNoReg128	NO	10	41877	2	NO1
NewRegNoReg129	NO	10	41877	2	NO1
NewRegNoReg12	NO	6	24867	2	NO1
NewRegNoReg130	NO	10	41877	2	NO1
NewRegNoReg131	NO	10	41877	2	NO1
NewRegNoReg132	NO	10	41877	2	NO1
NewRegNoReg133	NO	10	41877	2	NO1
NewRegNoReg134	NO	10	41877	2	NO1
NewRegNoReg135	NO	10	41877	2	NO1
NewRegNoReg136	YES	11	41875	1	YES1
NewRegNoReg137	YES	11	41875	1	YES1
NewRegNoReg138	NO	11	41875	2	NO1
NewRegNoReg139	YES	11	41875	1	YES1
NewRegNoReg13	NO	6	24867	2	NO1
NewRegNoReg140	NO	11	41875	2	NO1
NewRegNoReg141	NO	11	41875	2	NO1
NewRegNoReg142	YES	11	41875	1	YES1
NewRegNoReg143	YES	11	41875	1	YES2
NewRegNoReg144	NO	11	41875	2	NO1
NewRegNoReg145	YES	11	41875	1	YES1
NewRegNoReg146	NO	11	41875	2	NO1
NewRegNoReg147	NO	11	41875	2	NO1
NewRegNoReg148	NO	11	41875	2	NO1
NewRegNoReg149	YES	11	41875	1	YES1
NewRegNoReg14	YES	6	24855	1	YES1
NewRegNoReg150	YES	11	41875	1	YES1
NewRegNoReg151	NO	11	41875	2	NO1
NewRegNoReg152	YES	11	41875	1	YES1
NewRegNoReg153	YES	11	41875	1	YES1
NewRegNoReg154	NO	11	41875	2	Removed
NewRegNoReg155	YES	11	41875	1	Removed
NewRegNoReg156	NO	11	41875	2	NO1
NewRegNoReg157	NO	11	41875	2	NO2
NewRegNoReg158	NO	11	41875	2	Removed
NewRegNoReg159	YES	11	41875	1	YES1
NewRegNoReg15	YES	6	24855	1	YES1
NewRegNoReg160	YES	11	41875	1	YES1
NewRegNoReg161	NO	11	41875	2	NO1
NewRegNoReg162	NO	11	41875	2	NO1
NewRegNoReg163	NO	11	41875	2	NO1
NewRegNoReg164	NO	11	41875	2	NO1
NewRegNoReg165	YES	11	41875	1	YES1
NewRegNoReg166	NO	11	41875	2	NO1
NewRegNoReg167	NO	11	41878	2	NO1
NewRegNoReg168	YES	11	41878	1	YES1
NewRegNoReg169	YES	11	41878	1	YES2
NewRegNoReg16	YES	6	24855	1	YES1
NewRegNoReg170	YES	11	41878	1	YES1
NewRegNoReg171	YES	11	41878	1	YES1
NewRegNoReg172	YES	11	41878	1	YES1
NewRegNoReg173	YES	11	41878	1	YES1
